SKU,IMAGE,QUALITY,CALIBRATION,OCR,EXTRACTION,RULE,EVIDENCE,REPORT,DATABASE,FRONTEND,STATUS,FAILURE_STAGE,ISSUE_ID
EARBUDS,img (1).jpeg,"PASS(blur=163.08,glare=0.00)","FALLBACK(ISO_card,pxmm=1.994)",TOKENS,FIELDS=8;WRONG_ASSOC(1.0 l),FAIL(f=2/p=5/r=0/u=0),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),FAIL,LEGAL_MISSING_FIELDS,"DIAG-008,DIAG-010,DIAG-025"
EARBUDS,img (2).jpeg,FAIL(blur=38.15),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
EARBUDS,img (3).jpeg,FAIL(blur=27.01),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
EARBUDS,img (4).jpeg,FAIL(blur=38.17),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
EARBUDS,img (5).jpeg,FAIL(blur=20.12),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
EARBUDS,img (8).jpeg,FAIL(blur=120.10),"FALLBACK(ISO_card,pxmm=1.791)",NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
HERBAL_HAIR_OIL,image-1.jpeg,FAIL(blur=81.78),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
HERBAL_HAIR_OIL,image-2.jpeg,FAIL(blur=32.52),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
HERBAL_HAIR_OIL,image-3.jpeg,FAIL(blur=65.48),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
HERBAL_HAIR_OIL,image-4.jpeg,FAIL(blur=57.94),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
HERBAL_HAIR_OIL,image-5.jpeg,FAIL(blur=63.10),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
HERBAL_HAIR_OIL,image-6.jpeg,FAIL(blur=77.33),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
ITEM_1_-_WATCH,back_01.jpg,"PASS(blur=2438.11,glare=0.63)",UNRESOLVED,TOKENS,FIELDS=6;OK,UNABLE_TO_VERIFY(f=0/p=6/r=0/u=1),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,-,"DIAG-008,DIAG-010"
ITEM_1_-_WATCH,back_angle_01.jpg,FAIL(blur=72.52),UNRESOLVED,NO_TOKENS,EMPTY,SKIPPED(UTV),HASHED(sha256_stored);metrics_fabricated_when_cv2_fails,NOT_GENERATED,PERSISTED(mode_b),RENDERED(spot-checked),UNABLE_TO_VERIFY,QUALITY_GATE,"DIAG-010,DIAG-026"
